Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Promedio_Mejor_Generacion,Desviacion_Generacion,Promedio_Mejor_Fitness,Desviacion_Fitness,Promedio_promedios,Desviacion_promedio_20p
5,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,202.4,84.51263933221203,0.0006428797073847833,2.1078305002747953e-06,0.0006427546944214933,2.125448276835791e-06
5,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,219.06666666666666,55.143032406538055,0.0006368546225140301,2.314650096045613e-06,0.0006367317395848899,2.322007690718891e-06
5,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,251.03333333333333,51.866196109321294,0.0006434052797700166,2.1968580919434937e-06,0.0006430651571322433,2.2227310787875333e-06
5,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,215.66666666666666,60.82044423367532,0.0006375708084388033,2.1835680582114293e-06,0.0006374365013216633,2.1808005290152564e-06
5,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,242.8,59.5450568318097,0.0006432821458683534,2.319645956146485e-06,0.0006430340138854566,2.2969140180276114e-06
5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,186.76666666666668,73.43102948995077,0.0006369280241854934,1.8690860279442345e-06,0.0006366953597137499,1.7025267834273826e-06
5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,212.86666666666667,70.72127579855099,0.0006429369656472167,2.1100530493342356e-06,0.00064277502118654,2.057879759235053e-06
5,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,236.2,54.976734891318756,0.00063719213842374,2.344906350179249e-06,0.0006369835705914866,2.2789884718371154e-06
5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,231.86666666666667,68.51062506740423,0.0006432694458623467,2.1983428225593326e-06,0.0006430166697077434,2.13007086320459e-06
6,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,201.03333333333333,70.65822710393508,0.00063546365855431,2.4318158577681843e-06,0.0006353235478914633,2.435976958237635e-06
6,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,207.8,73.04292549944341,0.0006422088578128733,1.6309989664176234e-06,0.00064207767016002,1.5462881283106521e-06
6,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,185.96666666666667,86.74277604159495,0.0006358715819460168,2.124203542940491e-06,0.0006356044020502133,2.1469597346435877e-06
6,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,235.1,69.09481242067508,0.0006428339074620333,1.7623841667460046e-06,0.00064263389253456,1.7912291769944684e-06
6,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,192.76666666666668,71.8584256252065,0.00063608756176408,2.2339068424755602e-06,0.00063598618696784,2.2266770077357853e-06
6,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,235.7,64.93240517168073,0.00064224052503027,2.0409039075341336e-06,0.0006420014816699867,1.9655772827839835e-06
6,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,198.03333333333333,59.29614939718543,0.0006359901142288134,2.1098857760103804e-06,0.00063581528513547,2.057404962572703e-06
6,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,218.8,74.60673908730618,0.0006417176265656333,2.0852450378971622e-06,0.0006414970032284167,2.1602667938573274e-06
6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,187.6,77.79486730697819,0.00063490394726884,1.9040825531579778e-06,0.0006347336586782933,1.9919149427099065e-06
6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,219.96666666666667,70.05194296123184,0.0006418093355364133,2.115565624354413e-06,0.00064172730772551,2.070023274442317e-06
6,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,201.16666666666666,70.79064974948332,0.00063516589869665,2.355080979421731e-06,0.00063503617811439,2.3583917409595717e-06
6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,205.36666666666667,78.44984487505084,0.0006417649419426367,2.30635725014315e-06,0.0006416490419544334,2.289918960864197e-06
7,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,188.9,75.5222506605013,0.0006348886144318867,3.1032500289336433e-06,0.0006345826988339166,3.0423265321466826e-06
7,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,236.2,58.20913543659502,0.0006410820311314867,1.9102094115748197e-06,0.00064086396906659,1.9235679895800417e-06
7,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,226.43333333333334,70.60217996699502,0.00063487360324345,2.090520799994985e-06,0.0006344524985825133,1.9427591343997064e-06
7,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,240.76666666666668,60.36765709374934,0.00064085980449668,2.36390010391582e-06,0.00064069573625964,2.3702662731047178e-06
7,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,209.7,79.56569612590592,0.0006348244700182933,3.030117597524139e-06,0.0006345531144581934,2.941321378102141e-06
7,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,241.1,47.53608429756102,0.0006415615271002032,2.185877968075358e-06,0.0006413339346517434,2.1495251957235846e-06
7,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,178.53333333333333,86.10167739698637,0.0006348034429755433,2.601416898276975e-06,0.0006345518341291733,2.6733511423912544e-06
7,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,209.53333333333333,69.92001999000215,0.00064093877982106,2.1618685047468303e-06,0.00064072083017026,2.260281973109707e-06
7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,195.2,78.57541951351033,0.0006346998127026666,2.5936105543615835e-06,0.0006345482032097267,2.482826788826309e-06
7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,236.96666666666667,52.9205542060102,0.00064093056866569,2.7969825028142285e-06,0.0006407723582676533,2.763247380687329e-06
7,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,183.4,72.7819606297017,0.00063335995001864,2.5056520809955113e-06,0.0006331971936817267,2.56443212082601e-06
