Iteracion,Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Mejor_Fitness,Mejor_generacion
9,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006349201912299958,195
9,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006343888618087163,279
9,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006346678774839317,227
9,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006338394419711121,138
9,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006362970433207252,161
9,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000639743364207656,272
10,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006278103724396826,77
10,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006359141831762601,274
10,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000634177139339082,193
10,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006351463854655601,191
10,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006371433052439302,279
10,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000636444766910632,37
10,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006353793897135612,205
10,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000633898594234346,293
10,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006309859809608011,253
10,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006366016839140618,220
1,1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006387519181657188,178
1,2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006423445466268643,289
1,3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006399410608487614,214
1,4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006408690871235292,253
1,5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006471929857891813,247
1,6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006410766849337157,206
1,7,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006397147129988967,298
1,8,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006450798350930903,248
1,9,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006399392165352117,258
1,10,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006443853160240455,300
2,1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.000638930822446196,144
2,2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006460221990365788,249
2,3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006433224090248136,269
2,4,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006444017166553792,300
2,5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006403518806059915,296
2,6,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.000645309326213809,270
2,7,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006411320043073109,279
2,8,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006397182673180776,297
2,9,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006414738215312364,205
2,10,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006453555540687873,242
3,1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006402660182535394,158
3,2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006468039680736975,298
3,3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,0.0006395328285071039,128
